ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Contrast,Direction
GO:0007018,1,25,microtubule-based movement,BP,GO:0007018,microtubule-based movement,77,3,0.66,0.028,Biological_Process,"pdam_00000330,pdam_00003988,pdam_00005508,pdam_00008126,pdam_00015293,pdam_00017282,pdam_00018049,pdam_00019081,pdam_00021088",Wounded 1h vs Wounded 0h,Upregulated
GO:0016071,1,25,mRNA metabolic process,BP,GO:0000398,"mRNA splicing, via spliceosome",36,2,0.31,0.038,Biological_Process,"pdam_00001253,pdam_00002728,pdam_00006804,pdam_00007814,pdam_00010525,pdam_00014534,pdam_00023092",Wounded 1h vs Wounded 0h,Upregulated
GO:0023052,1,25,signaling,BP,GO:0007186,G protein-coupled receptor signaling pathway,1076,16,9.25,0.016,Biological_Process,"pdam_00000566,pdam_00000913,pdam_00001435,pdam_00001867,pdam_00002738,pdam_00003331,pdam_00003579,pdam_00003996,pdam_00004025,pdam_00004029,pdam_00004335,pdam_00004907,pdam_00005129,pdam_00006154,pdam_00006624,pdam_00006671,pdam_00006755,pdam_00006807,pdam_00007511,pdam_00007526,pdam_00007559,pdam_00008152,pdam_00009314,pdam_00009473,pdam_00010000,pdam_00010948,pdam_00011517,pdam_00011684,pdam_00011702,pdam_00012140,pdam_00012504,pdam_00013147,pdam_00013207,pdam_00013359,pdam_00013683,pdam_00015287,pdam_00016402,pdam_00016580,pdam_00017267,pdam_00017269,pdam_00017422,pdam_00017449,pdam_00017455,pdam_00018418,pdam_00018676,pdam_00019714,pdam_00020181,pdam_00020436,pdam_00020501,pdam_00020644,pdam_00021519,pdam_00021972,pdam_00022056,pdam_00022321,pdam_00024388,pdam_00025652",Wounded 1h vs Wounded 0h,Upregulated
GO:0065003,1,25,protein-containing complex assembly,BP,GO:0051260,protein homooligomerization,64,3,0.55,0.017,Biological_Process,"pdam_00000410,pdam_00003505,pdam_00003506,pdam_00012526,pdam_00013462,pdam_00015960,pdam_00019542",Wounded 1h vs Wounded 0h,Upregulated
GO:0003824,1,14.285714285714286,catalytic activity,MF,GO:0016868,intramolecular phosphotransferase activity,5,1,0.04,0.038,Molecular_Function,"pdam_00005487,pdam_00017446",Wounded 1h vs Wounded 0h,Upregulated
GO:0005215,2,28.571428571428573,transporter activity,MF,GO:0005249,voltage-gated potassium channel activity,71,3,0.55,0.017,Molecular_Function,"pdam_00002653,pdam_00003505,pdam_00003506,pdam_00008596,pdam_00012526,pdam_00019542",Wounded 1h vs Wounded 0h,Upregulated
GO:0005215,2,28.571428571428573,transporter activity,MF,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",5,1,0.04,0.038,Molecular_Function,"pdam_00002790,pdam_00007061",Wounded 1h vs Wounded 0h,Upregulated
GO:0008289,1,14.285714285714286,lipid binding,MF,GO:0005544,calcium-dependent phospholipid binding,6,1,0.05,0.045,Molecular_Function,pdam_00017838,Wounded 1h vs Wounded 0h,Upregulated
GO:0016853,1,14.285714285714286,isomerase activity,MF,GO:0016868,intramolecular phosphotransferase activity,5,1,0.04,0.038,Molecular_Function,"pdam_00005487,pdam_00017446",Wounded 1h vs Wounded 0h,Upregulated
GO:0060089,1,14.285714285714286,molecular transducer activity,MF,GO:0004930,G protein-coupled receptor activity,1060,16,8.14,0.01,Molecular_Function,"pdam_00000566,pdam_00000913,pdam_00001435,pdam_00001867,pdam_00002738,pdam_00003331,pdam_00003579,pdam_00003996,pdam_00004025,pdam_00004029,pdam_00004335,pdam_00004907,pdam_00005129,pdam_00006154,pdam_00006624,pdam_00006671,pdam_00006755,pdam_00006807,pdam_00007511,pdam_00007526,pdam_00007559,pdam_00008152,pdam_00009314,pdam_00009473,pdam_00010000,pdam_00010948,pdam_00011517,pdam_00011684,pdam_00011702,pdam_00012140,pdam_00012504,pdam_00013147,pdam_00013207,pdam_00013359,pdam_00013683,pdam_00015287,pdam_00016402,pdam_00017267,pdam_00017269,pdam_00017422,pdam_00017449,pdam_00017455,pdam_00018418,pdam_00018676,pdam_00019714,pdam_00020181,pdam_00020436,pdam_00020501,pdam_00020644,pdam_00021519,pdam_00021972,pdam_00022056,pdam_00022321,pdam_00024388,pdam_00025652",Wounded 1h vs Wounded 0h,Upregulated
