"genes","cluster","intersection_group"
"pdam_00014045",15,"Wounded 2h"
"pdam_00010392",24,"Wounded 2h"
"pdam_00012206",24,"Wounded 2h"
"pdam_00012232",24,"Wounded 2h"
"pdam_00020171",24,"Wounded 2h"
"pdam_00019345",15,"Wounded 2h"
"pdam_00020550",15,"Wounded 2h"
"pdam_00008609",15,"Wounded 2h"
"pdam_00004195",24,"Wounded 2h"
"pdam_00005595",24,"Wounded 2h"
"pdam_00005102",15,"Wounded 2h"
"pdam_00005161",22,"Wounded 2h and Wounded 4h"
"pdam_00011981",24,"Wounded 2h"
"pdam_00010610",24,"Wounded 2h"
"pdam_00015836",15,"Wounded 2h"
"pdam_00005930",24,"Wounded 2h"
"pdam_00005904",24,"Wounded 2h"
"pdam_00012803",15,"Wounded 2h"
"pdam_00018886",24,"Wounded 2h"
"pdam_00004953",22,"Wounded 2h and Wounded 4h"
"pdam_00025879",24,"Wounded 2h"
"pdam_00016409",15,"Wounded 2h"
"pdam_00015395",24,"Wounded 2h"
"pdam_00015372",24,"Wounded 2h"
"pdam_00006732",22,"Wounded 2h and Wounded 4h"
"pdam_00007836",15,"Wounded 2h"
"pdam_00007846",22,"Wounded 2h and Wounded 4h"
"pdam_00015431",24,"Wounded 2h"
"pdam_00015423",15,"Wounded 2h"
"pdam_00019828",24,"Wounded 2h"
"pdam_00024855",24,"Wounded 2h"
"pdam_00006984",24,"Wounded 2h"
"pdam_00011365",24,"Wounded 2h"
"pdam_00009468",24,"Wounded 2h"
"pdam_00002402",24,"Wounded 2h"
"pdam_00015319",15,"Wounded 2h"
"pdam_00020205",15,"Wounded 2h"
"pdam_00011701",15,"Wounded 2h"
"pdam_00009245",22,"Wounded 2h and Wounded 4h"
"pdam_00004503",24,"Wounded 2h"
"pdam_00023715",24,"Wounded 2h"
"pdam_00019706",24,"Wounded 2h"
"pdam_00024053",24,"Wounded 2h"
"pdam_00001052",22,"Wounded 2h and Wounded 4h"
"pdam_00013810",15,"Wounded 2h"
"pdam_00003563",21,"Wounded 2h and Wounded 4h"
"pdam_00011338",24,"Wounded 2h"
"pdam_00023261",24,"Wounded 2h"
"pdam_00010473",15,"Wounded 2h"
"pdam_00010489",24,"Wounded 2h"
"pdam_00013680",15,"Wounded 2h"
"pdam_00020364",24,"Wounded 2h"
"pdam_00020574",24,"Wounded 2h"
"pdam_00010350",15,"Wounded 2h"
"pdam_00001252",15,"Wounded 2h"
"pdam_00001304",15,"Wounded 2h"
"pdam_00014962",15,"Wounded 2h"
"pdam_00017664",15,"Wounded 2h"
"pdam_00011951",15,"Wounded 2h"
"pdam_00011940",24,"Wounded 2h"
"pdam_00020599",24,"Wounded 2h"
"pdam_00010937",24,"Wounded 2h and Wounded 4h"
"pdam_00010948",15,"Wounded 2h"
"pdam_00009070",15,"Wounded 2h"
"pdam_00004033",24,"Wounded 2h"
"pdam_00004048",15,"Wounded 2h"
"pdam_00022146",15,"Wounded 2h"
"pdam_00022947",24,"Wounded 2h"
"pdam_00012697",15,"Wounded 2h"
"pdam_00005848",24,"Wounded 2h"
"pdam_00009659",24,"Wounded 2h"
