"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Function","group"
"pdam_00004156",8.41759080215332,-6.82684882849746,1.44358989839771,-4.72907772219438,2.25542037076807e-06,0.0239830125125623,"unknown function","Wounded_0 vs Control_0"
"pdam_00008890",42.6152709409012,-17.3981866917427,2.14484206725255,-8.1116399931623,4.99410789568689e-16,1.06209692617573e-11,"aceA: Isocitrate lyase (Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125))","Wounded_0 vs Control_0"
"pdam_00000218",290.43577628704,-1.74019551539108,0.359742022047148,-4.83734289780305,1.31586313953719e-06,0.008072493120839,"Acidic skeletal organic matrix protein (Acropora millepora)","Wounded_1 vs Control_1"
"pdam_00003271",204.74979571384,-4.06040186409617,0.752782453651361,-5.39385827127245,6.89606195917054e-08,0.0014665854968568,"unknown function","Wounded_1 vs Control_1"
"pdam_00009111",39.1335803792326,-4.72694899107988,0.969164120875278,-4.87734625051002,1.07522597771468e-06,0.008072493120839,"unknown function","Wounded_1 vs Control_1"
"pdam_00018516",92.629452681764,-3.95916199822814,0.823314272396183,-4.80881011172727,1.51831346609094e-06,0.008072493120839,"unknown function","Wounded_1 vs Control_1"
"pdam_00000345",2955.20525268245,-7.68796372688157,1.39951145788472,-5.49331960347184,3.94448006607762e-08,0.000838872575652727,"PXDN: Peroxidasin homolog (Homo sapiens)","Wounded_2 vs Control_2"
"pdam_00001132",524.775347396271,0.611594977683013,0.126888701230176,4.81993252160081,1.43606786446041e-06,0.0101802850911599,"Mucin-like protein (Fragment) (Acropora millepora)","Wounded_2 vs Control_2"
"pdam_00009111",39.1335803792326,-4.06561185005151,0.794022394773188,-5.12027352983268,3.05092807200575e-07,0.00324420436536732,"unknown function","Wounded_2 vs Control_2"
"pdam_00000145",57.7721103220679,2.81119190746745,0.695939955514729,4.03941731638076,5.35841530830222e-05,0.0198021319142446,"unknown function","Wounded_4 vs Control_4"
"pdam_00000346",70.4228035386446,-1.74915759432344,0.447020692667673,-3.91292309956624,9.11855794970072e-05,0.0260616146677298,"PXDN: Peroxidasin homolog (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00000771",13587.3586998052,0.460063932854871,0.113276968642693,4.0614075250022,4.87777393995471e-05,0.0196989300812749,"Rpl17: 60S ribosomal protein L17 (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00001007",662.350060292653,0.60091295812235,0.164665316436191,3.64929889990045,0.000262956999491034,0.0436086589402846,"lgals3bpb: Galectin-3-binding protein B (Danio rerio)","Wounded_4 vs Control_4"
"pdam_00001099",1563.07524736458,0.591513493481544,0.159070767270906,3.71855560660096,0.000200365188782516,0.0386634839682365,"unknown function","Wounded_4 vs Control_4"
"pdam_00001465",530.234287232858,-0.958130434971117,0.268720655018464,-3.56552582422547,0.00036312740172801,0.0495992040428687,"Moxd1: DBH-like monooxygenase protein 1 (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00001732",10216.73600705,0.500839642697489,0.138061383316052,3.62765916629242,0.00028600246460529,0.0448752368474544,"rpl31: 60S ribosomal protein L31 (Paralichthys olivaceus)","Wounded_4 vs Control_4"
"pdam_00001888",326.31679780569,-0.998794471372605,0.22409007884188,-4.45711151754006,8.30713937816169e-06,0.00743932021778973,"Trpc4: Short transient receptor potential channel 4 (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00002335",6746.1517263975,0.642552091495741,0.180037769565446,3.5689849582488,0.000358366997747509,0.0495992040428687,"rps28: 40S ribosomal protein S28 (Ictalurus punctatus)","Wounded_4 vs Control_4"
"pdam_00002413",72.6988947969658,-1.09258243665503,0.272622099866503,-4.00768109845111,6.13178396945067e-05,0.0205920635154077,"Lyrm4: LYR motif-containing protein 4 (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00002441",3771.54701532934,1.18456795921398,0.321926749811484,3.67961954049375,0.000233582176874278,0.0426707126965572,"tf: Serotransferrin (Paralichthys olivaceus)","Wounded_4 vs Control_4"
"pdam_00002503",341.211647338943,0.635011163861637,0.164321859237121,3.86443512025565,0.000111346580271096,0.0290277531822731,"Histone H2A (Acropora formosa)","Wounded_4 vs Control_4"
"pdam_00002842",61.2222475699079,-1.05051982761411,0.292363838054702,-3.59319344897077,0.000326649892935483,0.0487543112422482,"Ccdc97: Coiled-coil domain-containing protein 97 (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00002938",391.3997192949,0.911623076893513,0.249356223795755,3.65590665039992,0.000256274606602136,0.04343860947833,"unknown function","Wounded_4 vs Control_4"
"pdam_00003081",239.259818256878,0.832576390310318,0.213368180117606,3.90206444958855,9.53757533323949e-05,0.0262147598922019,"unknown function","Wounded_4 vs Control_4"
"pdam_00003271",204.74979571384,-5.07835742066645,0.740141869283354,-6.8613297415313,6.82224820640861e-12,9.16432601566869e-08,"unknown function","Wounded_4 vs Control_4"
"pdam_00003300",1160.10239174692,-0.750758139657704,0.210271418635834,-3.57042409533523,0.000356403723873144,0.0495992040428687,"aldh1l1: Cytosolic 10-formyltetrahydrofolate dehydrogenase (Xenopus laevis)","Wounded_4 vs Control_4"
"pdam_00003430",278.400161531089,-0.717095429484214,0.202318490382569,-3.54438898851134,0.000393524184022132,0.0495992040428687,"PAFAH1B2: Platelet-activating factor acetylhydrolase IB subunit beta (Pongo abelii)","Wounded_4 vs Control_4"
"pdam_00003431",567.910247857995,-0.759168948200797,0.206463096588171,-3.67702006191984,0.000235974488367809,0.0426707126965572,"Sdhd: Succinate dehydrogenase [ubiquinone] cytochrome b small subunit%2C mitochondrial (Mus musculus)","Wounded_4 vs Control_4"
"pdam_00003477",1674.27110518341,-0.587946948668061,0.16569544770637,-3.54835909378734,0.000387639343027475,0.0495992040428687,"GPC1: Glypican-1 (Gallus gallus)","Wounded_4 vs Control_4"
"pdam_00003702",123.850539439575,-0.937600726174771,0.257400715772166,-3.64257233458773,0.000269927092004151,0.0442186661816069,"Pigl: N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00003704",131.015747917158,-0.988550961201478,0.265871834448689,-3.71814849531292,0.000200688294513624,0.0386634839682365,"RPUSD4: RNA pseudouridylate synthase domain-containing protein 4 (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00003765",183.691756375739,-2.45374785164316,0.64823410752201,-3.78528038430907,0.000153535372422061,0.0343740109624258,"Spon2: Spondin-2 (Rattus norvegicus)","Wounded_4 vs Control_4"
"pdam_00003892",621.849418047739,0.932132849384261,0.23099730407083,4.035254234389,5.45432056001676e-05,0.0198021319142446,"selenbp1: Selenium-binding protein 1 (Xenopus tropicalis)","Wounded_4 vs Control_4"
"pdam_00003931",397.354946943843,-3.66737030195333,0.872479278641131,-4.20338957237492,2.62947460279162e-05,0.0153572749301304,"unknown function","Wounded_4 vs Control_4"
